LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2023-08-26 16:29:26,1900-01-00 00:00:00,Zeus,E2:B4:F7:C4:DB:5C,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:26,1900-01-00 00:00:00,TMOBILE-3D81,B0:FC:88:E3:3D:86,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:26,1900-01-00 00:00:00,TMOBILE-3D81,B0:FC:88:E3:3D:86,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:26,1900-01-00 00:00:00,TMOBILE-3D81,B0:FC:88:E3:3D:86,-66, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:27,1900-01-00 00:00:00,,6A:6C:63:D1:F6:D8,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:27,1900-01-00 00:00:00,,30:4A:26:24:F8:C4,-56,,0.000000,0.000000,0.000,0.000,Client
2023-08-26 16:29:29,1900-01-00 00:00:00,conejos-2.4,6C:CD:D6:8A:FE:4F,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:29,1900-01-00 00:00:00,Kikolola_EXT_EXT,84:D8:1B:17:77:C8,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:29,1900-01-00 00:00:00,conejos-2.4,6C:CD:D6:8A:FE:4F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:29,1900-01-00 00:00:00,Kikolola_EXT_EXT,84:D8:1B:17:77:C8,-72, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:29,1900-01-00 00:00:00,Kikolola_EXT_EXT,84:D8:1B:17:77:C8,-72, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:29,1900-01-00 00:00:00,,BC:3E:07:FF:13:38,-82, ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:29,1900-01-00 00:00:00,Elwifidetuvieja,AA:DB:03:73:3D:01,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:29,1900-01-00 00:00:00,,6E:6C:63:D1:F6:D8,-66, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:29,1900-01-00 00:00:00,Zeus,60:6C:63:D1:F6:D8,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:29,1900-01-00 00:00:00,,D2:B4:F7:C4:DB:5C,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:29,1900-01-00 00:00:00,,F2:B4:F7:C4:DB:5C,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:29,1900-01-00 00:00:00,Zeus,E2:B4:F7:C4:DB:5C,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:29,1900-01-00 00:00:00,,6A:6C:63:D1:F6:D8,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:29,1900-01-00 00:00:00,,6E:6C:63:D1:F6:D8,-66, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:30,1900-01-00 00:00:00,TMOBILE-3D81,B0:FC:88:E3:3D:86,-66, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:30,1900-01-00 00:00:00,TMOBILE-3D81,B0:FC:88:E3:3D:86,-66, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:30,1900-01-00 00:00:00,TMOBILE-3D81,B0:FC:88:E3:3D:86,-66, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:30,1900-01-00 00:00:00,TMOBILE-3D81,B0:FC:88:E3:3D:86,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:30,1900-01-00 00:00:00,TMOBILE-3D81,B0:FC:88:E3:3D:86,-66, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:30,1900-01-00 00:00:00,TMOBILE-3D81,B0:FC:88:E3:3D:86,-66, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:30,1900-01-00 00:00:00,6F9DCB-2.4,E0:DB:D1:6F:9D:D0,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:30,1900-01-00 00:00:00,TMOBILE-3D81,B0:FC:88:E3:3D:86,-66, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:30,1900-01-00 00:00:00,TMOBILE-3D81,B0:FC:88:E3:3D:86,-66, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:30,1900-01-00 00:00:00,TMOBILE-3D81,B0:FC:88:E3:3D:86,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:30,1900-01-00 00:00:00,TMOBILE-3D81,B0:FC:88:E3:3D:86,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:30,1900-01-00 00:00:00,TMOBILE-3D81,B0:FC:88:E3:3D:86,-66, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:30,1900-01-00 00:00:00,TMOBILE-3D81,B0:FC:88:E3:3D:86,-66, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:30,1900-01-00 00:00:00,TMOBILE-3D81,B0:FC:88:E3:3D:86,-66, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:30,1900-01-00 00:00:00,TMOBILE-3D81,B0:FC:88:E3:3D:86,-66, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:30,1900-01-00 00:00:00,,6A:6C:63:D1:F6:D8,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:30,1900-01-00 00:00:00,Zeus,60:6C:63:D1:F6:D8,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:30,1900-01-00 00:00:00,,6A:6C:63:D1:F6:D8,-66, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-26 16:29:31,1900-01-00 00:00:00,,14:0A:C5:07:1A:C7,-66,,0.000000,0.000000,0.000,0.000,Client
2023-08-26 16:29:31,1900-01-00 00:00:00,,14:0A:C5:07:1A:C7,-66,,0.000000,0.000000,0.000,0.000,Client
2023-08-26 16:29:31,1900-01-00 00:00:00,,14:0A:C5:07:1A:C7,-66,,0.000000,0.000000,0.000,0.000,Client
2023-08-26 16:29:31,1900-01-00 00:00:00,,14:0A:C5:07:1A:C7,-66,,0.000000,0.000000,0.000,0.000,Client
